workload,read_count,write_count,total_count,read_ws,write_ws,total_ws,time
w03,10566069616,3384894217,13950963833,214889921,76053974,218398970,609727.011027
w21,5280790785,127998764,5408789549,60676663,3556378,60843011,598560.031737
w52,86344917,81474457,167819374,1296304,317603,1413617,573822.435245
w12,110176516,242593306,352769822,689341,365026,908381,558782.453761
w13,1463556352,1020077112,2483633464,38769088,9356246,39011929,475751.794267
w50,583267413,20259190,603526603,8864330,1564746,10168516,512638.569889
w48,2526601903,70154047,2596755950,35193024,2778181,35884193,557484.145733
w27,312167516,84229827,396397343,5950702,6272512,10177134,480740.639763
w45,1093552,323646552,324740104,53963,345005,349966,607247.997288
w07,962718406,177910107,1140628513,32881052,1917738,32959375,573838.396572
w103,25480246,44690616,70170862,1304554,232003,1471244,604306.566126
w51,401795092,71422834,473217926,4020078,1067401,4358137,607244.099417
w10,9025957770,1015134652,10041092422,128184271,54362944,128832647,530184.483349
w22,359793686,56418457,416212143,15134506,1711533,16228900,506694.439122
w89,43041293,66581844,109623137,1741082,1461685,2572768,607175.740862
w99,208449557,13835966,222285523,4353309,135925,4437820,609800.548958
w57,24700192,215730792,240430984,343132,856550,988198,546783.285549
w79,74221923,82187684,156409607,7150100,7663239,7713113,607055.478062
w72,59792880,84947300,144740180,520666,512262,766735,606982.626992
w04,10678310711,3745004656,14423315367,211295378,71057766,213546666,609747.460372
w47,613296,297538984,298152280,43599,314923,322054,607300.009784
w69,253894022,81883210,335777232,4227323,1142972,4397616,606790.190688
w101,2998936,153781960,156780896,457620,5379585,5399731,563370.906836
w92,269091341,10363833,279455174,5681091,114136,5695760,609777.418879
w35,22339440,467470938,489810378,418123,1138918,1166457,607263.836822
w43,500635208,507430424,1008065632,11189075,4158613,12749813,560032.984712
w54,4418551796,1211099942,5629651738,257807592,151087768,275906101,604403.425716
w61,357949552,162802391,520751943,4802542,2318403,5086603,590570.820236
w74,26525071,86669972,113195043,271810,294008,463562,585675.377066
w77,127109952,63894753,191004705,2795069,894788,2949369,607034.887603
w105,172580423,20136395,192716818,3240448,970543,3678505,590247.088224
w80,94618849,45942320,140561169,639534,353402,672766,606757.966677
w30,12580378,566312240,578892618,1246084,3585026,4130442,585011.029569
w40,3472331,290862896,294335227,345655,1051501,1312433,607321.213465
w91,111121380,35976974,147098354,3321357,630375,3477940,567632.209771
w34,1498886279,291792842,1790679121,20007044,7527981,20544025,595122.97146
w85,311225297,10084544,321309841,5540924,154111,5563285,609835.641047
w37,181720549,55646211,237366760,12014588,1895720,12380260,416141.759625
w67,59540026,94641431,154181457,450558,371406,694371,607119.503589
w63,334332382,33742708,368075090,11928723,1807814,11940030,609775.294203
w20,4934677799,698140537,5632818336,134271424,30306748,139645389,609749.19026
w19,3545759905,83701134,3629461039,2643167,1013514,2889503,601644.74773
w93,242749906,23972698,266722604,5793070,969040,6252088,577499.717093
w62,139607844,23629328,163237172,9271529,394897,9422358,500840.111905
w06,1406337026,380429549,1786766575,4106474,530082,4368394,584461.581101
w23,794189423,531618321,1325807744,11141400,1535882,12124219,503313.903631
w68,30634298,270728507,301362805,481677,1141521,1268031,567566.088811
w84,28753788,260263996,289017784,2237677,1073462,2566232,606684.426788
w87,86508494,112372655,198881149,4404453,3552432,6124402,82848.74072
w64,838205400,77527299,915732699,90647502,1379565,91798057,80009.004197
w59,127822289,126763952,254586241,1290264,956180,1351501,603387.126129
w14,4585097797,1507746471,6092844268,126649929,42273065,128288239,609747.019241
w76,10808074,75028143,85836217,432110,1207995,1368814,558730.232766
w60,207119738,74422372,281542110,3483321,1680369,3680307,609782.838855
w70,42176975,267386907,309563882,725338,2275539,2447029,514994.133424
w65,690266146,21535801,711801947,12932170,776387,13531369,510638.768616
w97,3166736,158548480,161715216,483040,4863483,4885226,567664.750942
w100,3043472,156005544,159049016,448449,5012032,5033846,569240.917059
w66,244823664,101875628,346699292,190113,82541,224622,606707.475233
w18,574146135,141773033,715919168,6653622,6579721,12208692,501966.874435
w104,156201387,28774588,184975975,10130475,1852123,11261561,609743.419167
w98,3138656,156705608,159844264,457877,4659291,4680447,568779.953035
w33,8657872,303947208,312605080,194758,1555589,1680432,607273.02127
w32,394463871,55853784,450317655,11993121,1232871,12057471,606868.341104
w106,17724377,44651521,62375898,878673,175101,1021141,521104.049303
w95,63729450,58131934,121861384,969336,454694,1157058,606818.581753
w31,10489894454,672328075,11162222529,167011089,38931440,196035844,607115.520933
w16,604085537,83901565,687987102,14675889,1116561,15096283,499109.336989
w26,591099570,589791016,1180890586,11877821,7463573,13599216,609718.680788
w82,112805254,77872073,190677327,194771,66923,229425,606699.260316
w81,235585600,25466240,261051840,4860677,152402,4871672,609840.979243
w09,6935011666,1810639990,8745651656,127126447,42257483,128889087,609757.140063
w28,413684117,589593552,1003277669,12160645,16631623,17439937,607234.103705
w83,79165629,39164843,118330472,4600946,323424,4745278,571069.438846
w38,193322073,189889709,383211782,3397781,1480392,3885017,609795.065221
w96,6558013,124892481,131450494,527010,1764239,2145759,609622.676634
w25,2407196253,297747584,2704943837,30962797,27043165,34758681,478076.268796
w86,85355872,108244544,193600416,10638059,7502032,18078141,399400.615711
w46,1055141795,3047459356,4102601151,65354415,46134630,76207356,2886884.331987
w17,145399473,983538411,1128937884,4024524,1972551,4462321,559831.926281
w78,149241973,123868141,273110114,2630091,2106593,2753743,599617.327152
w56,31435256,202177712,233612968,376907,767778,922802,569166.311083
w08,8024789639,289340587,8314130226,85512990,8725670,86183602,592687.280853
w75,53332953,276563472,329896425,1018805,1748282,2124657,607122.421534
w88,63290245,71543750,134833995,542595,639825,975004,606992.740148
w42,319191017,181314983,500506000,4479642,2641122,4746381,609760.530291
w94,796361935,44480650,840842585,3626096,2756073,3628008,570790.887884
w90,370948344,24893021,395841365,3357902,653121,3504185,447517.119391
w11,2375143919,1234538600,3609682519,2992520,1443029,2999557,584550.191988
w36,8433760,297465512,305899272,183933,1353416,1480321,607331.603735
w44,199168606,27987679,227156285,3681799,452134,3926397,566777.610753
w58,308499346,265891532,574390878,4611111,3168038,6764614,604566.990938
w01,1748722027,571247954,2319969981,208074207,20777737,209537716,543520.435242
w71,61367985,47792879,109160864,1335738,346680,1479318,417664.866721
w05,9531505851,815568801,10347074652,141315438,61585164,149298730,528985.558729
w02,11701510754,108657400,11810168154,2408169,218003,2488802,607255.475623
w15,415245062,87741170,502986232,9796311,3998628,10726483,493947.39972
w102,6446718,94013096,100459814,156664,920931,1003107,581588.442179
w29,331653090,78794605,410447695,6138164,6165718,10684542,499280.767648
w41,19945080,267315736,287260816,434229,879817,1118538,607249.301033
w53,1297213733,172791383,1470005116,107377910,8804902,109444552,83065.352162
w49,590987984,197879576,788867560,10314106,1868727,10431718,607263.657987
w24,630925316,169357522,800282838,16488568,5416875,17171627,528188.746157
w55,75148783,38681468,113830251,8020759,599800,8316421,501041.420626
w73,62485085,41213576,103698661,1390178,321320,1414922,606688.264811
w39,7659746,298521146,306180892,550012,733615,1072029,607251.24255